event,host_time,src_ip,src_port,key,pi_name,payload_ts,rssi_dbm,agg_mode,agg_N,dist_m,rssi_mean
RAW,1761204665.234,10.128.97.90,41000,A,raspberrypi,1761204668.336,-61.2,,,2.5,
RAW,1761204665.745,10.128.97.90,41000,A,raspberrypi,1761204668.836,-66.2,,,2.5,
RAW,1761204666.266,10.128.97.90,41000,A,raspberrypi,1761204669.337,-64.4,,,2.5,
RAW,1761204666.77,10.128.97.90,41000,A,raspberrypi,1761204669.837,-55.3,,,2.5,
RAW,1761204667.286,10.128.97.90,41000,A,raspberrypi,1761204670.338,-46.9,,,2.5,
RAW,1761204667.803,10.128.97.90,41000,A,raspberrypi,1761204670.839,-46,,,2.5,
RAW,1761204668.305,10.128.97.90,41000,A,raspberrypi,1761204671.339,-47.2,,,2.5,
RAW,1761204668.936,10.128.97.90,41000,A,raspberrypi,1761204671.84,-47,,,2.5,
LEG_VAST,1761204669.133,,,A,raspberrypi,,,mean,20,3,-51.47
RAW,1761204669.48,10.128.97.90,41000,A,raspberrypi,1761204672.341,-47,,,3,
RAW,1761204669.742,10.128.97.90,41000,A,raspberrypi,1761204672.841,-48.7,,,3,
RAW,1761204670.371,10.128.97.90,41000,A,raspberrypi,1761204673.342,-52.8,,,3,
RAW,1761204670.967,10.128.97.90,41000,A,raspberrypi,1761204673.842,-49.6,,,3,
RAW,1761204671.361,10.128.97.90,41000,A,raspberrypi,1761204674.343,-45.1,,,3,
RAW,1761204671.788,10.128.97.90,41000,A,raspberrypi,1761204674.843,-43.1,,,3,
RAW,1761204672.301,10.128.97.90,41000,A,raspberrypi,1761204675.344,-43,,,3,
RAW,1761204672.821,10.128.97.90,41000,A,raspberrypi,1761204675.845,-43,,,3,
RAW,1761204673.334,10.128.97.90,41000,A,raspberrypi,1761204676.345,-43,,,3,
RAW,1761204673.838,10.128.97.90,41000,A,raspberrypi,1761204676.846,-43,,,3,
RAW,1761204674.249,10.128.97.90,41000,A,raspberrypi,1761204677.346,-43.8,,,3,
RAW,1761204674.81,10.128.97.90,41000,A,raspberrypi,1761204677.847,-48.4,,,3,
RAW,1761204675.271,10.128.97.90,41000,A,raspberrypi,1761204678.348,-52.9,,,3,
RAW,1761204675.782,10.128.97.90,41000,A,raspberrypi,1761204678.848,-54.8,,,3,
RAW,1761204676.316,10.128.97.90,41000,A,raspberrypi,1761204679.349,-55.4,,,3,
RAW,1761204676.803,10.128.97.90,41000,A,raspberrypi,1761204679.849,-57.5,,,3,
RAW,1761204677.315,10.128.97.90,41000,A,raspberrypi,1761204680.35,-59.3,,,3,
RAW,1761204677.833,10.128.97.90,41000,A,raspberrypi,1761204680.85,-62.6,,,3,
RAW,1761204678.34,10.128.97.90,41000,A,raspberrypi,1761204681.351,-64,,,3,
LEG_VAST,1761204678.446,,,A,raspberrypi,,,mean,20,3.5,-50.2
RAW,1761204678.752,10.128.97.90,41000,A,raspberrypi,1761204681.852,-64.6,,,3.5,
RAW,1761204679.364,10.128.97.90,41000,A,raspberrypi,1761204682.352,-64.8,,,3.5,
RAW,1761204679.775,10.128.97.90,41000,A,raspberrypi,1761204682.853,-63.2,,,3.5,
RAW,1761204680.288,10.128.97.90,41000,A,raspberrypi,1761204683.353,-61.1,,,3.5,
RAW,1761204680.802,10.128.97.90,41000,A,raspberrypi,1761204683.854,-60,,,3.5,
RAW,1761204681.316,10.128.97.90,41000,A,raspberrypi,1761204684.354,-60.9,,,3.5,
RAW,1761204681.824,10.128.97.90,41000,A,raspberrypi,1761204684.855,-63.2,,,3.5,
RAW,1761204682.333,10.128.97.90,41000,A,raspberrypi,1761204685.356,-67.4,,,3.5,
RAW,1761204682.957,10.128.97.90,41000,A,raspberrypi,1761204685.856,-69,,,3.5,
RAW,1761204683.255,10.128.97.90,41000,A,raspberrypi,1761204686.357,-68,,,3.5,
RAW,1761204683.797,10.128.97.90,41000,A,raspberrypi,1761204686.858,-65,,,3.5,
RAW,1761204684.278,10.128.97.90,41000,A,raspberrypi,1761204687.358,-60.5,,,3.5,
RAW,1761204684.793,10.128.97.90,41000,A,raspberrypi,1761204687.859,-58.2,,,3.5,
RAW,1761204685.242,10.128.97.90,41000,A,raspberrypi,1761204688.36,-60.9,,,3.5,
RAW,1761204685.817,10.128.97.90,41000,A,raspberrypi,1761204688.86,-64.2,,,3.5,
RAW,1761204686.344,10.128.97.90,41000,A,raspberrypi,1761204689.361,-61,,,3.5,
RAW,1761204686.848,10.128.97.90,41000,A,raspberrypi,1761204689.861,-61.9,,,3.5,
RAW,1761204687.357,10.128.97.90,41000,A,raspberrypi,1761204690.361,-64.8,,,3.5,
RAW,1761204687.864,10.128.97.90,41000,A,raspberrypi,1761204690.863,-64.8,,,3.5,
RAW,1761204688.898,10.128.97.90,41000,A,raspberrypi,1761204691.864,-63,,,3.5,
RAW,1761204689.3,10.128.97.90,41000,A,raspberrypi,1761204692.364,-62.7,,,3.5,
RAW,1761204689.812,10.128.97.90,41000,A,raspberrypi,1761204692.865,-60.9,,,3.5,
RAW,1761204690.323,10.128.97.90,41000,A,raspberrypi,1761204693.366,-61.1,,,3.5,
RAW,1761204690.836,10.128.97.90,41000,A,raspberrypi,1761204693.866,-63.2,,,3.5,
RAW,1761204691.347,10.128.97.90,41000,A,raspberrypi,1761204694.367,-63.9,,,3.5,
LEG_VAST,1761204691.368,,,A,raspberrypi,,,mean,20,4,-63.23
RAW,1761204691.756,10.128.97.90,41000,A,raspberrypi,1761204694.867,-65.2,,,4,
RAW,1761204692.271,10.128.97.90,41000,A,raspberrypi,1761204695.368,-66.2,,,4,
RAW,1761204692.781,10.128.97.90,41000,A,raspberrypi,1761204695.869,-62.2,,,4,
RAW,1761204694.414,10.128.97.90,41000,A,raspberrypi,1761204697.37,-58,,,4,
RAW,1761204694.927,10.128.97.90,41000,A,raspberrypi,1761204697.871,-59.5,,,4,
RAW,1761204695.849,10.128.97.90,41000,A,raspberrypi,1761204698.872,-63.7,,,4,
RAW,1761204696.361,10.128.97.90,41000,A,raspberrypi,1761204699.373,-61.6,,,4,
RAW,1761204696.773,10.128.97.90,41000,A,raspberrypi,1761204699.873,-61.2,,,4,
RAW,1761204697.283,10.128.97.90,41000,A,raspberrypi,1761204700.374,-62.8,,,4,
RAW,1761204697.797,10.128.97.90,41000,A,raspberrypi,1761204700.874,-61.4,,,4,
RAW,1761204698.454,10.128.97.90,41000,A,raspberrypi,1761204701.375,-63.2,,,4,
LEG_VAST,1761204698.717,,,A,raspberrypi,,,mean,20,4.5,-62.57
RAW,1761204698.82,10.128.97.90,41000,A,raspberrypi,1761204701.876,-60.9,,,4.5,
RAW,1761204699.331,10.128.97.90,41000,A,raspberrypi,1761204702.376,-57.4,,,4.5,
RAW,1761204699.846,10.128.97.90,41000,A,raspberrypi,1761204702.877,-58,,,4.5,
RAW,1761204700.379,10.128.97.90,41000,A,raspberrypi,1761204703.377,-56.9,,,4.5,
RAW,1761204700.868,10.128.97.90,41000,A,raspberrypi,1761204703.878,-56.8,,,4.5,
RAW,1761204701.255,10.128.97.90,41000,A,raspberrypi,1761204704.379,-58.2,,,4.5,
RAW,1761204701.793,10.128.97.90,41000,A,raspberrypi,1761204704.879,-60.8,,,4.5,
RAW,1761204702.307,10.128.97.90,41000,A,raspberrypi,1761204705.38,-62.6,,,4.5,
RAW,1761204702.841,10.128.97.90,41000,A,raspberrypi,1761204705.88,-61.8,,,4.5,
RAW,1761204703.336,10.128.97.90,41000,A,raspberrypi,1761204706.381,-54.2,,,4.5,
RAW,1761204703.838,10.128.97.90,41000,A,raspberrypi,1761204706.881,-45.9,,,4.5,
RAW,1761204705.067,10.128.97.90,41000,A,raspberrypi,1761204707.382,-51.3,,,4.5,
RAW,1761204705.299,10.128.97.90,41000,A,raspberrypi,1761204708.383,-56.2,,,4.5,
RAW,1761204705.791,10.128.97.90,41000,A,raspberrypi,1761204708.884,-55.6,,,4.5,
LEG_VAST,1761204705.926,,,A,raspberrypi,,,mean,20,5,-58.52
RAW,1761204706.294,10.128.97.90,41000,A,raspberrypi,1761204709.384,-55,,,5,
RAW,1761204706.809,10.128.97.90,41000,A,raspberrypi,1761204709.885,-55.8,,,5,
RAW,1761204708.449,10.128.97.90,41000,A,raspberrypi,1761204711.387,-45,,,5,
RAW,1761204709.878,10.128.97.90,41000,A,raspberrypi,1761204712.888,-54.8,,,5,
RAW,1761204710.293,10.128.97.90,41000,A,raspberrypi,1761204713.389,-54.4,,,5,
RAW,1761204710.902,10.128.97.90,41000,A,raspberrypi,1761204713.889,-57,,,5,
RAW,1761204711.314,10.128.97.90,41000,A,raspberrypi,1761204714.39,-55.8,,,5,
RAW,1761204711.824,10.128.97.90,41000,A,raspberrypi,1761204714.891,-52.7,,,5,
RAW,1761204712.336,10.128.97.90,41000,A,raspberrypi,1761204715.391,-56.2,,,5,
RAW,1761204713.366,10.128.97.90,41000,A,raspberrypi,1761204716.392,-52.9,,,5,
RAW,1761204713.874,10.128.97.90,41000,A,raspberrypi,1761204716.893,-49.2,,,5,
RAW,1761204714.435,10.128.97.90,41000,A,raspberrypi,1761204717.394,-50.2,,,5,
RAW,1761204714.793,10.128.97.90,41000,A,raspberrypi,1761204717.894,-55.9,,,5,
RAW,1761204715.417,10.128.97.90,41000,A,raspberrypi,1761204718.395,-58.6,,,5,
RAW,1761204715.819,10.128.97.90,41000,A,raspberrypi,1761204718.896,-54.8,,,5,
RAW,1761204716.285,10.128.97.90,41000,A,raspberrypi,1761204719.396,-51.5,,,5,
RAW,1761204716.844,10.128.97.90,41000,A,raspberrypi,1761204719.897,-52.1,,,5,
RAW,1761204717.354,10.128.97.90,41000,A,raspberrypi,1761204720.397,-56,,,5,
RAW,1761204717.866,10.128.97.90,41000,A,raspberrypi,1761204720.897,-54.5,,,5,
RAW,1761204718.379,10.128.97.90,41000,A,raspberrypi,1761204721.398,-56.1,,,5,
LEG_VAST,1761204718.65,,,A,raspberrypi,,,mean,20,5.5,-53.92
RAW,1761204718.89,10.128.97.90,41000,A,raspberrypi,1761204721.899,-57.4,,,5.5,
RAW,1761204719.298,10.128.97.90,41000,A,raspberrypi,1761204722.4,-51.6,,,5.5,
RAW,1761204719.814,10.128.97.90,41000,A,raspberrypi,1761204722.9,-51,,,5.5,
RAW,1761204720.425,10.128.97.90,41000,A,raspberrypi,1761204723.401,-52,,,5.5,
RAW,1761204720.839,10.128.97.90,41000,A,raspberrypi,1761204723.901,-56.4,,,5.5,
LEG_VAST,1761204726.003,,,A,raspberrypi,,,mean,20,6,-54.1
RAW,1761204727.783,10.128.97.90,41000,A,raspberrypi,1761204730.909,-62.9,,,6,
RAW,1761204728.316,10.128.97.90,41000,A,raspberrypi,1761204731.409,-63.4,,,6,
RAW,1761204728.786,10.128.97.90,41000,A,raspberrypi,1761204731.911,-55.6,,,6,
RAW,1761204729.305,10.128.97.90,41000,A,raspberrypi,1761204732.411,-56.6,,,6,
RAW,1761204729.787,10.128.97.90,41000,A,raspberrypi,1761204732.912,-61.2,,,6,
RAW,1761204730.292,10.128.97.90,41000,A,raspberrypi,1761204733.412,-62.4,,,6,
RAW,1761204730.802,10.128.97.90,41000,A,raspberrypi,1761204733.913,-63.5,,,6,
RAW,1761204731.32,10.128.97.90,41000,A,raspberrypi,1761204734.413,-60.7,,,6,
RAW,1761204731.798,10.128.97.90,41000,A,raspberrypi,1761204734.914,-56.6,,,6,
RAW,1761204732.295,10.128.97.90,41000,A,raspberrypi,1761204735.415,-53.1,,,6,
LEG_VAST,1761204732.497,,,A,raspberrypi,,,mean,20,6.5,-56.73
RAW,1761204732.792,10.128.97.90,41000,A,raspberrypi,1761204735.915,-53.6,,,6.5,
RAW,1761204733.291,10.128.97.90,41000,A,raspberrypi,1761204736.416,-57.6,,,6.5,
RAW,1761204733.794,10.128.97.90,41000,A,raspberrypi,1761204736.916,-59,,,6.5,
RAW,1761204734.295,10.128.97.90,41000,A,raspberrypi,1761204737.417,-60,,,6.5,
RAW,1761204734.803,10.128.97.90,41000,A,raspberrypi,1761204737.918,-61.2,,,6.5,
RAW,1761204735.305,10.128.97.90,41000,A,raspberrypi,1761204738.418,-53.9,,,6.5,
RAW,1761204735.925,10.128.97.90,41000,A,raspberrypi,1761204738.919,-54.7,,,6.5,
RAW,1761204736.306,10.128.97.90,41000,A,raspberrypi,1761204739.419,-60.8,,,6.5,
RAW,1761204736.796,10.128.97.90,41000,A,raspberrypi,1761204739.92,-62.8,,,6.5,
RAW,1761204737.315,10.128.97.90,41000,A,raspberrypi,1761204740.42,-61.2,,,6.5,
RAW,1761204737.92,10.128.97.90,41000,A,raspberrypi,1761204740.921,-61.8,,,6.5,
RAW,1761204738.345,10.128.97.90,41000,A,raspberrypi,1761204741.422,-60.6,,,6.5,
LEG_VAST,1761204738.842,,,A,raspberrypi,,,mean,20,7,-58.84
RAW,1761204738.856,10.128.97.90,41000,A,raspberrypi,1761204741.922,-57,,,7,
RAW,1761204739.369,10.128.97.90,41000,A,raspberrypi,1761204742.423,-61.1,,,7,
RAW,1761204739.881,10.128.97.90,41000,A,raspberrypi,1761204742.923,-64.9,,,7,
RAW,1761204740.392,10.128.97.90,41000,A,raspberrypi,1761204743.424,-63.1,,,7,
RAW,1761204740.917,10.128.97.90,41000,A,raspberrypi,1761204743.925,-62.4,,,7,
RAW,1761204741.319,10.128.97.90,41000,A,raspberrypi,1761204744.425,-65,,,7,
RAW,1761204741.827,10.128.97.90,41000,A,raspberrypi,1761204744.926,-60.8,,,7,
RAW,1761204742.339,10.128.97.90,41000,A,raspberrypi,1761204745.426,-59.2,,,7,
RAW,1761204742.851,10.128.97.90,41000,A,raspberrypi,1761204745.927,-63,,,7,
RAW,1761204743.363,10.128.97.90,41000,A,raspberrypi,1761204746.427,-65.1,,,7,
RAW,1761204743.876,10.128.97.90,41000,A,raspberrypi,1761204746.928,-67.9,,,7,
RAW,1761204744.387,10.128.97.90,41000,A,raspberrypi,1761204747.429,-62.5,,,7,
RAW,1761204744.806,10.128.97.90,41000,A,raspberrypi,1761204747.929,-56.7,,,7,
RAW,1761204745.304,10.128.97.90,41000,A,raspberrypi,1761204748.43,-56.6,,,7,
RAW,1761204745.822,10.128.97.90,41000,A,raspberrypi,1761204748.93,-60.4,,,7,
LEG_VAST,1761204746.306,,,A,raspberrypi,,,mean,20,7.5,-61.65
RAW,1761204746.335,10.128.97.90,41000,A,raspberrypi,1761204749.431,-64.6,,,7.5,
RAW,1761204746.844,10.128.97.90,41000,A,raspberrypi,1761204749.931,-66.2,,,7.5,
RAW,1761204747.356,10.128.97.90,41000,A,raspberrypi,1761204750.432,-62.4,,,7.5,
RAW,1761204747.87,10.128.97.90,41000,A,raspberrypi,1761204750.933,-58.7,,,7.5,
RAW,1761204748.381,10.128.97.90,41000,A,raspberrypi,1761204751.433,-53.4,,,7.5,
RAW,1761204748.897,10.128.97.90,41000,A,raspberrypi,1761204751.934,-53,,,7.5,
RAW,1761204749.406,10.128.97.90,41000,A,raspberrypi,1761204752.434,-57.9,,,7.5,
RAW,1761204749.916,10.128.97.90,41000,A,raspberrypi,1761204752.935,-57.9,,,7.5,
RAW,1761204750.594,10.128.97.90,41000,A,raspberrypi,1761204753.435,-60.6,,,7.5,
RAW,1761204751.003,10.128.97.90,41000,A,raspberrypi,1761204753.936,-58.8,,,7.5,
RAW,1761204751.598,10.128.97.90,41000,A,raspberrypi,1761204754.437,-55,,,7.5,
RAW,1761204752.006,10.128.97.90,41000,A,raspberrypi,1761204754.937,-58.5,,,7.5,
RAW,1761204752.406,10.128.97.90,41000,A,raspberrypi,1761204755.438,-59,,,7.5,
RAW,1761204752.89,10.128.97.90,41000,A,raspberrypi,1761204755.938,-61,,,7.5,
RAW,1761204753.401,10.128.97.90,41000,A,raspberrypi,1761204756.439,-61.3,,,7.5,
RAW,1761204753.925,10.128.97.90,41000,A,raspberrypi,1761204756.94,-59.8,,,7.5,
LEG_VAST,1761204754.348,,,A,raspberrypi,,,mean,20,8,-59.21
RAW,1761204754.423,10.128.97.90,41000,A,raspberrypi,1761204757.44,-56.1,,,8,
RAW,1761204754.831,10.128.97.90,41000,A,raspberrypi,1761204757.941,-52.4,,,8,
RAW,1761204755.343,10.128.97.90,41000,A,raspberrypi,1761204758.441,-53.8,,,8,
RAW,1761204755.86,10.128.97.90,41000,A,raspberrypi,1761204758.942,-57.6,,,8,
RAW,1761204756.377,10.128.97.90,41000,A,raspberrypi,1761204759.443,-60.6,,,8,
RAW,1761204756.916,10.128.97.90,41000,A,raspberrypi,1761204759.943,-59.7,,,8,
RAW,1761204757.401,10.128.97.90,41000,A,raspberrypi,1761204760.444,-54.4,,,8,
RAW,1761204757.905,10.128.97.90,41000,A,raspberrypi,1761204760.944,-52.7,,,8,
RAW,1761204758.421,10.128.97.90,41000,A,raspberrypi,1761204761.445,-57,,,8,
RAW,1761204758.937,10.128.97.90,41000,A,raspberrypi,1761204761.946,-63.6,,,8,
RAW,1761204759.339,10.128.97.90,41000,A,raspberrypi,1761204762.446,-68.8,,,8,
RAW,1761204759.857,10.128.97.90,41000,A,raspberrypi,1761204762.947,-64.8,,,8,
LEG_VAST,1761204760.395,,,A,raspberrypi,,,mean,20,8.5,-58.77
RAW,1761204760.463,10.128.97.90,41000,A,raspberrypi,1761204763.447,-64.8,,,8.5,
RAW,1761204760.873,10.128.97.90,41000,A,raspberrypi,1761204763.948,-61.4,,,8.5,
RAW,1761204761.384,10.128.97.90,41000,A,raspberrypi,1761204764.448,-58.1,,,8.5,
RAW,1761204761.903,10.128.97.90,41000,A,raspberrypi,1761204764.949,-59,,,8.5,
RAW,1761204762.408,10.128.97.90,41000,A,raspberrypi,1761204765.45,-60.7,,,8.5,
RAW,1761204762.921,10.128.97.90,41000,A,raspberrypi,1761204765.95,-63.3,,,8.5,
RAW,1761204763.432,10.128.97.90,41000,A,raspberrypi,1761204766.451,-63,,,8.5,
RAW,1761204763.947,10.128.97.90,41000,A,raspberrypi,1761204766.951,-59.4,,,8.5,
RAW,1761204764.354,10.128.97.90,41000,A,raspberrypi,1761204767.452,-61.7,,,8.5,
RAW,1761204764.868,10.128.97.90,41000,A,raspberrypi,1761204767.952,-64.4,,,8.5,
RAW,1761204765.39,10.128.97.90,41000,A,raspberrypi,1761204768.453,-68.7,,,8.5,
RAW,1761204765.89,10.128.97.90,41000,A,raspberrypi,1761204768.954,-68.3,,,8.5,
RAW,1761204766.417,10.128.97.90,41000,A,raspberrypi,1761204769.454,-67.9,,,8.5,
RAW,1761204766.915,10.128.97.90,41000,A,raspberrypi,1761204769.955,-68.1,,,8.5,
RAW,1761204767.431,10.128.97.90,41000,A,raspberrypi,1761204770.455,-60.5,,,8.5,
RAW,1761204767.94,10.128.97.90,41000,A,raspberrypi,1761204770.956,-52.9,,,8.5,
LEG_VAST,1761204768.278,,,A,raspberrypi,,,mean,20,9,-62.82
RAW,1761204768.35,10.128.97.90,41000,A,raspberrypi,1761204771.456,-57.2,,,9,
